conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,70282E+18;Fri Sep 15 23:07:59 +0000 2023;45858;Emir Can İğrek Harbiye konserinde Onur Can Özcan için yazdığı Can Dostum şarkısını seslendirdi. ️ Konser esnasında yapay zeka ile Onur Can Özcan ın sesi kullanılarak düet yapıldı. https://t.co/x4yPdSHeZS;1,70282E+18;https://pbs.twimg.com/ext_tw_video_thumb/1702821277277233152/pu/img/HYtEDX-JdGNvMd_A.jpg;;tr;;759;259;2571;https://x.com/Listenary/status/1702821595004236126;9,13082E+17;Listenary
1,7422E+18;Tue Jan 02 15:05:46 +0000 2024;118865;YA ALLAH AKHIRNYA SYSTEM DATA AKU BERSIH JADI IPHONE STORAGENYA LOWONG LAGI UDAH SIAP TEMPUR KONSER from this to this: https://t.co/RlaLpbnt62;1,7422E+18;https://pbs.twimg.com/media/GC2KIf2aEAAaR8r.jpg;;in;stay hydrate♡;1284;792;24291;https://x.com/queerisy/status/1742200516539482519;4891527996;queerisy
1,81577E+18;Tue Jul 23 15:29:38 +0000 2024;23480;Hari ini @A_LuluJKT48 didampingi oleh @C_OnielJKT48 telah mengikuti kontes @AKB48G_singer yang ke-6. Berkat dukungan kalian semua Lulu berhasil lolos ke putaran 8 besar. Dengan pencapaian ini Lulu juga akan terpilih untuk mengikuti konser spesial finalis lomba AKB48 Group di https://t.co/tQCi16JNgB;1,81577E+18;https://pbs.twimg.com/media/GTLnhclaYAARB-I.jpg;;in;jakarta;130;576;3865;https://x.com/officialJKT48/status/1815771258967187701;351535962;officialJKT48
1,79683E+18;Sat Jun 01 09:10:04 +0000 2024;14467;-star mbak Gfriend pada nonton konser VIVIZ hari ini nangesss https://t.co/LcgOax780W;1,79683E+18;https://pbs.twimg.com/media/GO-gyZ5bYAAbM9e.jpg;;in;RULES DI LINK;445;333;1794;https://x.com/starfess/status/1796831568448909423;1,21034E+18;starfess
1,73962E+18;Tue Dec 26 12:03:33 +0000 2023;49742;Waktu konser nitip hp balik2 ada ini cukup menghibur https://t.co/hCMnSEOCV1;1,73962E+18;https://pbs.twimg.com/ext_tw_video_thumb/1739616599198617600/pu/img/JwxRfHwhQMl-X3CM.jpg;;in;Jakarta, Indonesia ;368;1264;8719;https://x.com/_shanindira/status/1739617946044190962;2399305668;_shanindira
1,86642E+18;Tue Dec 10 10:06:50 +0000 2024;7;Mau punya pengalaman maksimal nonton performance NCT DREAM yang meledak-ledak? Tonton di layar ScreenX yang bisa kasih kamu pengalaman nonton konser 270° Saksikan &lt;;;;;;;;;;;
1,85672E+18;Wed Nov 13 15:21:59 +0000 2024;25197;Rammstein'ın solisti Till Lindeman 6 Aralık 2025'te İstanbul'da konser verecek. https://t.co/0r8UXlmD6l;1,85672E+18;https://pbs.twimg.com/ext_tw_video_thumb/1856718500179365888/pu/img/_7BbBsr7-sk_rP1N.jpg;;tr;Türkiye;676;441;561;https://x.com/bosunatiklama/status/1856719161835012559;1,33819E+18;bosunatiklama
1,82475E+18;Sat Aug 17 10:10:12 +0000 2024;18821;-star karina disuruh konser malah cosplay dewi yunanicantik sekaliii https://t.co/c7BBIHAekJ;1,82475E+18;https://pbs.twimg.com/media/GVLG1PqbcAAU4Pg.jpg;;in;RULES DI LINK;535;395;3129;https://x.com/starfess/status/1824750569782689893;1,21034E+18;starfess
1,84949E+18;Thu Oct 24 16:46:57 +0000 2024;9552;Sen otobüs durağında otobüs beklerken İBB 29 Ekim konserinde Hadise ye konser için 4 milyon lira ödenecek. https://t.co/3YGChrqzMD;1,84949E+18;https://pbs.twimg.com/media/Gaq35FSW4AAshkf.jpg;;tr;;102;1087;2106;https://x.com/dava__adami_/status/1849492790897504424;1869376554;dava__adami_
1,84246E+18;Sat Oct 05 07:06:53 +0000 2024;13483;İstanbul un göbeğinde konser adı altında Digital Ayin gerçekleştiriliyor. Ve maalesef kimse de siz ne yapıyorsunuz demiyor. Yazıklar olsun .. https://t.co/dXgtzgcRlc;1,84246E+18;https://pbs.twimg.com/amplify_video_thumb/1842461325974245376/img/4IDguOjh1Ln4sxmv.jpg;;tr;Tanınmamış kişi :);705;2453;2531;https://x.com/by__fth/status/1842461440948486653;1,19099E+18;by__fth
1,86464E+18;Thu Dec 05 11:51:59 +0000 2024;1215; Gitmeyi bileceksin ne kadar çabalarsan çabala olmadığını anladığında gideceksin. O zaman sen kazanmış olacaksın. https://t.co/e29Sguz3Jz;1,86464E+18;https://pbs.twimg.com/media/GeCHJbGWoAAYfU-.jpg;;tr;;4;2;144;https://x.com/kesItlerefsanem/status/1864638846740111389;9,62055E+17;kesItlerefsanem
1,86352E+18;Mon Dec 02 09:42:05 +0000 2024;1380;O dönemler ölümcül kolit hastalığıyla boğuşan Sertab Erener i hastanede ziyaret eden Sezen Aksu onu albümü bitirip Harbiye deki konsere çıkmaya ikna etti. Konser sırasında Sezen Aksu karanlığın içinden süzülerek sahneye katılır https://t.co/yH6g0uQGNE;1,86352E+18;https://pbs.twimg.com/ext_tw_video_thumb/1854530903239704584/pu/img/1tLjA0nUyz-4p-aq.jpg;;tr;;9;5;79;https://x.com/kesItlerefsanem/status/1863518995963359593;9,62055E+17;kesItlerefsanem
1,86645E+18;Tue Dec 10 12:01:02 +0000 2024;3;gue msih ga nyangka... ga sia dia gue nabung yaallah akhrny gue bs nnton konser + soundcheck https://t.co/AS4JbybWVH;1,86645E+18;https://pbs.twimg.com/media/Geb5KxIaYAAc86V.jpg;;in;;0;4;0;https://x.com/freakihooman/status/1866453066633052344;1,21486E+18;freakihooman
