"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1866355987986420101","Tue Dec 10 05:35:17 +0000 2024","721","Hi teman teman carats aku @cheollie_cherry (Mesa) mau bagi2 freebies set di konser &gt;&lt;! SEVENTEEN RIGHT HERE IN JAKARTA ️ Feb 8 &amp; 9 2024 JIS (exact location TBA) ⏰ TBA How to get? Check the poster ⬇️ #SEVENTEEN_RIGHT_HERE_IN_JAKARTA https://t.co/WrXfg6pef4","1866355987986420101","https://pbs.twimg.com/media/Geag3ASa0AAMtlI.jpg","","en","Seoul *o(≧▽≦)o* | @wonforcheol","18","44","516","https://x.com/cheollie_cherry/status/1866355987986420101","1302585582594318336","cheollie_cherry"
"1866424325676646484","Tue Dec 10 10:06:50 +0000 2024","8","Mau punya pengalaman maksimal nonton performance NCT DREAM yang meledak-ledak? Tonton di layar ScreenX yang bisa kasih kamu pengalaman nonton konser 270° Saksikan &lt;NCT DREAM Mystery Lab: DREAM( )SCAPE in Cinemas&gt; tayang terbatas mulai 14 Desember! Beli tiketnya di app &amp; web https://t.co/RoXfUvMk01","1866424325676646484","https://pbs.twimg.com/amplify_video_thumb/1866423578968895489/img/SMaNZ6MOmQLuSmaz.jpg","","in","Jakarta Capital Region, Indone","0","0","2","https://x.com/CGV_ID/status/1866424325676646484","15000492","CGV_ID"
"1865500873108922778","Sat Dec 07 20:57:22 +0000 2024","1099","Benim kafayı toplayacak konser https://t.co/9H1MvYTx5q","1865500873108922778","https://pbs.twimg.com/ext_tw_video_thumb/1814679904748765184/pu/img/dHG-XUXq89FEcBHK.jpg","","tr","","11","9","136","https://x.com/mentalolarakk/status/1865500873108922778","1468873271470866436","mentalolarakk"
"1866361021075759133","Tue Dec 10 05:55:17 +0000 2024","4","MERSİN'DE UÇAN SÜPÜRGE KADIN FİLMLERİ FESTİVALİ DÜZENLENECEK WAN'DA İNSAN HAKLARI HAFTASI ETKİNLİKLERİ BÜNYESİNDE KONSER DÜZENLENDİ KAMERUN'DA 600 YILDIR SÜREN FESTİVAL: NGUON #MedyaHaber #MedyaHaberTv https://t.co/c31VMmx2wj","1866361021075759133","https://pbs.twimg.com/ext_tw_video_thumb/1866359884670722048/pu/img/P3tQUoQH5XlQnPRW.jpg","","tr","","0","0","1","https://x.com/medyahabertv5/status/1866361021075759133","1853023129515196416","medyahabertv5"
"1866453066633052344","Tue Dec 10 12:01:02 +0000 2024","5","gue msih ga nyangka... ga sia dia gue nabung yaallah akhrny gue bs nnton konser + soundcheck https://t.co/AS4JbybWVH","1866453066633052344","https://pbs.twimg.com/media/Geb5KxIaYAAc86V.jpg","","in","","0","5","0","https://x.com/freakihooman/status/1866453066633052344","1214859925735690242","freakihooman"
"1863518995963359593","Mon Dec 02 09:42:05 +0000 2024","1380","O dönemler ölümcül kolit hastalığıyla boğuşan Sertab Erener i hastanede ziyaret eden Sezen Aksu onu albümü bitirip Harbiye deki konsere çıkmaya ikna etti. Konser sırasında Sezen Aksu karanlığın içinden süzülerek sahneye katılır https://t.co/yH6g0uQGNE","1863518995963359593","https://pbs.twimg.com/ext_tw_video_thumb/1854530903239704584/pu/img/1tLjA0nUyz-4p-aq.jpg","","tr","","9","5","79","https://x.com/kesItlerefsanem/status/1863518995963359593","962055381169070080","kesItlerefsanem"
"1866185036787306706","Mon Dec 09 18:15:59 +0000 2024","13"," Rock müzik grubu Guns N'Roses 32 yıl aranın ardından Türkiye'de konser verecek. https://t.co/fvlrel439F","1866185036787306706","https://pbs.twimg.com/media/GeYFZWoXwAEXAIb.jpg","","tr","","2","0","4","https://x.com/CapaMagSanat/status/1866185036787306706","624557947","CapaMagSanat"
"1863379396565819848","Mon Dec 02 00:27:22 +0000 2024","109","Emir Can İğrek akustik konser versin ! https://t.co/Kl46IYybU3","1863379396565819848","https://pbs.twimg.com/ext_tw_video_thumb/1800127007139024896/pu/img/lmvvYVsx7-mMseZN.jpg","","tr","","1","1","1","https://x.com/senegeegemisin/status/1863379396565819848","1070910892370477056","senegeegemisin"
"1865151465351709049","Fri Dec 06 21:48:56 +0000 2024","44","Gülşen'in konser tarzı ️ https://t.co/vMBEp2jTw6","1865151465351709049","https://pbs.twimg.com/ext_tw_video_thumb/1865151379783708673/pu/img/VfY-hEIPMWLS6Uv2.jpg","","tr","reklam@nedenttoldu.social","1","4","6","https://x.com/opspopuler/status/1865151465351709049","1431344043536048140","opspopuler"
"1863601382822993971","Mon Dec 02 15:09:28 +0000 2024","7681","AFGANİSTAN İSLAM EMİRLİĞİ️ Eşcinsellik yasaklandı Zina yasak Suçlular cezalandırılır Zorla evlilikler yasaklandı Kulüp veya haram partileri yasaklandı Konser yasaklandı Aile içi şiddet yok Adalet sağlandı Faiz yasaklandı . . https://t.co/snaUbyQCI1","1863601382822993971","https://pbs.twimg.com/media/GdzXlF2WoAAFx-J.jpg","","tr","Türkiye","53","479","999","https://x.com/dailyafganistan/status/1863601382822993971","1837390707754930176","dailyafganistan"
